sample	leaf	side	label	DII_mean	DII_median	DII_min	DII_max	mDII_mean	mDII_median	mDII_min	mDII_max	mean_ratio	median_ratio	min_ratio	max_ratio	size	solidity
3	left	ab	1	0.0454389669445	0.0396593298313	0.0153077966081	0.152020905957	0.23332487232	0.19750979014	0.0513103725274	0.604478361281	0.194745491523	0.200796779761	0.298337272838	0.251491063527	21.4265376603	0.826241134752
3	left	ab	2	0.0294100823532	0.0276793150945	0.0128021726109	0.0550845775643	0.179017589866	0.175519630485	0.0684807711618	0.317300933829	0.164285992093	0.157699255736	0.186945508844	0.173603578469	26.9441010063	0.839541547278
3	left	ab	3	0.0349638688587	0.0341391269624	0.0120583154867	0.0615052390572	0.203083451616	0.193392910935	0.0527161361582	0.411487097098	0.172165031569	0.176527292533	0.228740502728	0.149470638304	73.8433894472	0.877595628415
3	left	ab	4	0.0450676488305	0.0438875703266	0.0184789769796	0.0812370280354	0.188465061492	0.186665327844	0.042875790742	0.337684506477	0.239129992974	0.23511367019	0.430988598923	0.240570788643	60.1414404713	0.721854304636
3	left	ab	5	0.047803257376	0.0460799913242	0.019966691228	0.0901241631507	0.179519589896	0.172908926599	0.0401646751682	0.364193192088	0.26628435038	0.266498625783	0.497120694849	0.2474625147	60.9690749732	0.761194029851
3	left	ab	6	0.0448974519027	0.0431828635774	0.0169912627313	0.0889888022769	0.225082625716	0.188673561603	0.0448840245005	0.573852796466	0.199470979867	0.22887607151	0.378559251769	0.155072525263	69.061501214	0.88875739645
3	left	ab	7	0.028239379653	0.0282078451564	0.00657726299275	0.0503865325695	0.237595723011	0.227030826388	0.0874585801787	0.450246008635	0.118854747447	0.124246762456	0.0752043193396	0.111908893367	60.5092780277	0.866930171278
3	left	ab	8	0.0227176087894	0.0228246685998	0.00732112011693	0.0378584125833	0.255439075912	0.242795461392	0.100512099608	0.512099608394	0.0889355268309	0.0940078058667	0.0728381970475	0.0739278295915	49.1982731684	0.890183028286
3	left	ab	9	0.0516406665288	0.0454144349499	0.019927540853	0.121170410491	0.179646159644	0.155537704589	0.0433778491816	0.403253338689	0.287457670295	0.291983445879	0.459394396656	0.300482101117	35.4043648034	0.660377358491
3	left	ab	10	0.0524764770095	0.048977119071	0.0201232927278	0.129313688482	0.175322740286	0.146350035144	0.025203333668	0.519730896676	0.299313579767	0.33465737827	0.798437738153	0.24880893037	39.9103748693	0.776386404293
3	left	ab	11	0.0209071408792	0.0171087138561	0.00152686462332	0.0609179834328	0.31055733415	0.256451450949	0.110653680088	0.767948589216	0.0673213560917	0.0667132659723	0.0137985887329	0.0793256010732	59.9575216931	0.698821007503
3	left	ab	12	0.0264842284662	0.0245472850979	0.00994419523904	0.0541058181904	0.247847928331	0.213625866051	0.0840445827894	0.642735214379	0.106856767553	0.114907831864	0.118320478358	0.0841805723102	25.1968726134	0.730666666667
3	left	ab	13	0.0536973736711	0.0498580025075	0.0178525709803	0.127512771234	0.17913548352	0.159654583794	0.0263078622352	0.440405663219	0.299758443252	0.312286696209	0.678602116004	0.289534812751	98.3965463368	0.811836115326
3	left	ab	14	0.0491206105829	0.0455514612623	0.019927540853	0.0920816818985	0.146454592269	0.124761522241	0.0327342102621	0.35154131941	0.335398227	0.365108251679	0.608768034832	0.261937009434	20.0471468238	0.810408921933
3	left	ab	15	0.0237971619708	0.0183811010422	0.00156601499827	0.0787705544132	0.344314916966	0.293653981323	0.128024902099	0.865849984938	0.0691145250996	0.0625944213642	0.0122321124453	0.0909748291083	74.1192676145	0.831785345717
3	left	ab	16	0.0101358880448	0.00967014261434	0.00168346612314	0.0220025107257	0.218132470218	0.213575660207	0.131238076112	0.374535595943	0.0464666632836	0.0452773626216	0.0128275739253	0.0587461137581	27.4958573409	0.791005291005
3	left	ab	17	0.043747601339	0.0415776982042	0.0193402852287	0.0876576895284	0.183477858348	0.175720453861	0.0455869063159	0.398634401044	0.238435317117	0.236612740809	0.424250882362	0.219894944588	84.4187191937	0.887814313346
3	left	ab	18	0.00639090458041	0.00642066149292	0.000548105249396	0.0119017139869	0.211655370913	0.21006125113	0.131037252736	0.335475449342	0.030194861358	0.0305656633882	0.00418282006033	0.0354771534257	54.8077959035	0.847795163585
3	left	ab	19	0.008494394272	0.00861308249051	0.00184006762297	0.0153077966081	0.222663104602	0.221658801084	0.131037252736	0.378150416709	0.0381490875517	0.0388573900444	0.0140423244883	0.0404807080245	49.4741513357	0.839313572543
3	left	ab	20	0.0357964182634	0.0348438337116	0.0177742702304	0.0672211938009	0.210152597077	0.196706496636	0.0557284867959	0.421227030826	0.170335359931	0.177136161273	0.318944067071	0.159584235772	80.4644654624	0.855327468231
3	left	ab	21	0.033445613336	0.031711803715	0.00947439073956	0.0595477203094	0.150442139141	0.151420825384	0.0567326036751	0.252836630184	0.222315459797	0.209428284614	0.167000809514	0.235518564957	70.4408920505	0.615261044177
3	left	ab	22	0.0538548524653	0.0468042732609	0.019927540853	0.129000485483	0.163365535819	0.140777186465	0.0327342102621	0.387287880309	0.329658591668	0.332470583028	0.608768034832	0.333086812269	103.546272126	0.803138373752
3	left	ab	23	0.0337760962128	0.0327297134639	0.01358518011	0.058960464685	0.222229489531	0.218696656291	0.0881614619942	0.391705994578	0.151987462528	0.149658042418	0.154094315166	0.15052224245	110.259307531	0.865703971119
3	left	ab	24	0.030336846302	0.0293236308427	0.0131936763605	0.0560241865632	0.210416183571	0.19459785119	0.0695852997289	0.441409780098	0.144175442151	0.150688358907	0.189604362011	0.126921035938	38.3470652546	0.770794824399
3	left	ab	25	0.0352633199407	0.0355485404608	0.0108055034881	0.0608788330579	0.201418765657	0.195300733005	0.0666733607792	0.35294708304	0.175074650198	0.18201949329	0.162066278973	0.172487140377	28.6913293992	0.816753926702
3	left	ab	26	0.0504954501811	0.0460995665117	0.019927540853	0.102260779387	0.173514871947	0.160056230545	0.0529169595341	0.367908424541	0.291015113658	0.288021068312	0.376581365001	0.277951719956	124.880850398	0.867731629393
3	left	ab	27	0.00141608330501	0.00129196237358	7.83007499137e-05	0.00454144349499	0.215952753227	0.206145195301	0.130936841048	0.35585902199	0.00655737555481	0.00626724465584	0.00059800396349	0.0127619175414	103.638231516	0.811959654179
3	left	ab	28	0.0230511944903	0.0229812700997	0.0198100897282	0.0277967662194	0.0680025313086	0.0691836529772	0.0434782608696	0.0922783411989	0.338975535862	0.332177748799	0.455632063748	0.301227415428	19.7712686565	0.669781931464
3	left	ab	29	0.0383157685593	0.03625324721	0.0148379921086	0.0711753816715	0.189085771759	0.178632392811	0.0432774374937	0.474344813736	0.202636973702	0.202948897676	0.342857455708	0.150049878507	77.7976431785	0.87037037037
3	left	ab	30	0.0275102016192	0.0276793150945	0.00880883436529	0.042673908703	0.213322431246	0.205291695953	0.0936841048298	0.350738025906	0.128960660435	0.134829199817	0.0940269897577	0.121668896872	71.3604859415	0.848087431694
3	left	ab	31	0.00188373180586	0.0017226164981	0.000234902249741	0.00567680436874	0.1955065179	0.1970077317	0.13184054624	0.281755196305	0.00963513557553	0.00874390300947	0.00178171477926	0.0201480023907	39.0827403674	0.658914728682
3	left	ab	32	0.00168537960152	0.00140941349845	0.0	0.00923948848981	0.211177152937	0.193392910935	0.131037252736	0.412290390601	0.00798088040339	0.00728782400365	0.0	0.0224101475572	118.53565255	0.806633291615
3	left	ab	33	0.00262437149214	0.00246647362228	0.000352353374612	0.00634236074301	0.19604185106	0.195451350537	0.131037252736	0.285068782006	0.0133867920444	0.0126193736472	0.00268895575307	0.0222485278759	27.7717355082	0.558225508318
3	left	ab	34	0.0146157745804	0.0141724357344	0.00387588712073	0.0294410819675	0.183763028417	0.182096596044	0.130936841048	0.256652274325	0.0795359910333	0.0778292183505	0.0296011961927	0.114711946524	45.9796945499	0.897666068223
3	left	ab	35	0.0107483017426	0.0105706012383	0.00360183449603	0.0194185859786	0.205903142147	0.192087558992	0.130936841048	0.404960337383	0.0522007660037	0.0550301190448	0.0275081823205	0.0479518219095	107.500525858	0.769585253456
3	left	ab	36	0.0419368677858	0.0404423373304	0.019927540853	0.0838209527826	0.138260481272	0.137162365699	0.0352445024601	0.257154332764	0.303317820104	0.29485010064	0.565408488192	0.325955825366	105.109581741	0.778610354223
3	left	ab	37	0.0618441344904	0.0548105249396	0.019927540853	0.144738936215	0.15342549059	0.132242192991	0.0358469725876	0.381765237474	0.403089045065	0.414470780466	0.555905824525	0.379130737972	150.077723011	0.876006441224
3	left	ab	38	0.0370342543251	0.0365468750222	0.019927540853	0.0610745849327	0.130246052611	0.122000200823	0.0486996686414	0.25735515614	0.284340704248	0.299564056252	0.409192534753	0.237316344653	25.1968726134	0.867088607595
3	left	ab	39	4.54292086763e-05	0.0	0.0	0.000469804499482	0.258932377465	0.182950095391	0.130936841048	1.0	0.000175448158014	0.0	0.0	0.000469804499482	19.4953904892	0.765342960289
3	left	ab	40	0.00271494800201	0.00274052624698	0.000430654124525	0.005441902119	0.195860093048	0.186564916156	0.131740134552	0.300532181946	0.0138616701328	0.0146893976823	0.00326896678822	0.0181075520224	34.4847709124	0.880281690141
3	left	ab	41	0.00530390757157	0.00446314274508	0.00152686462332	0.0191445333539	0.185191759332	0.17672457074	0.0942865749573	0.271714027513	0.0286400841523	0.0252547946581	0.0161938709091	0.0704583916007	42.7611159314	0.854779411765
3	left	ab	42	0.0241656083552	0.0238034279738	0.0104139997385	0.0438875703266	0.199734886188	0.201124610905	0.0929812230144	0.295310774174	0.120988420283	0.118351642132	0.112001105179	0.148614863272	68.5097448794	0.811546840959
3	left	ab	43	0.000172883084333	0.0	0.0	0.000978759373921	0.232641448988	0.193593734311	0.131438899488	0.601365598956	0.000743131050313	0.0	0.0	0.00162756129652	28.9672075665	0.79746835443
3	left	ab	44	0.0232520767542	0.0229812700997	0.00935693961469	0.0364881494598	0.180082840492	0.177025805804	0.0586404257456	0.291495130033	0.129118780505	0.129818757188	0.159564660313	0.125175845839	54.347998958	0.740601503759
3	left	ab	45	0.0358723328987	0.0338650743377	0.019927540853	0.0667513893014	0.174967562063	0.165779696757	0.0550256049804	0.331358570138	0.205022762367	0.204277574397	0.362150327291	0.201447601834	70.7167702178	0.749512670565
3	left	ab	46	0.0361874229532	0.0347851081492	0.019927540853	0.0640891638044	0.177410349466	0.164122903906	0.0547243699167	0.347625263581	0.203975828142	0.211945483057	0.364143815331	0.184362790967	66.9464352647	0.845528455285
3	left	ab	47	0.0540706017357	0.0459233898244	0.019927540853	0.150807244334	0.131276376229	0.114870970981	0.0221909830304	0.364594838839	0.411883716544	0.399782376976	0.89800171654	0.413629674007	228.79496008	0.798972382787
